bot,policy
brain_supply_v1,stop_for_now
ceo_decision_layer_v1,stop_for_now
cto_review_v1,stop_for_now
dev_command_executor_v1,stop_for_now
dev_pr_creator_v1,conditional
dev_pr_watcher_v1,always_on
dev_router_v1,stop_for_now
impact_judge_v1,stop_for_now
innovation_engine_v1,stop_for_now
learning_result_writer_v1,stop_for_now
pattern_extractor_v1,stop_for_now
proposal_builder_loop_v1,stop_for_now
proposal_dedupe_v1,stop_for_now
proposal_promoter_v1,conditional
proposal_ranking_v1,stop_for_now
proposal_throttle_engine_v1,conditional
reasoning_engine_v1,stop_for_now
spec_decomposer_v1,conditional
spec_refiner_v2,conditional
strategy_engine_v1,stop_for_now
supply_bias_updater_v1,stop_for_now
